paper,question_number,question_id,current_topic,proposed_primary_topic,proposed_secondary_topics,coverage_topics,status,rationale
31winter19,5,31winter19_q05,numerical_solution_of_equations,numerical_solution_of_equations,"differentiation,logarithmic_and_exponential_functions","numerical_solution_of_equations,differentiation,logarithmic_and_exponential_functions",add_secondary_topic,"Iteration is primary, with stationary-point differentiation of a logarithmic/exponential curve as setup."
31winter19,6,31winter19_q06,logarithmic_and_exponential_functions,integration,"differentiation,trigonometry","integration,differentiation,trigonometry",relabel_primary_add_secondary,Integration by parts is the main task; the opening derivative and cosecant/cotangent context are secondary.
31winter19,9,31winter19_q09,integration,integration,trigonometry,"integration,trigonometry",add_secondary_topic,"The exact integral is primary, with triple-angle identity and trig equation solving as secondary coverage."
31winter20,1,31winter20_q01,logarithmic_and_exponential_functions,algebra,,algebra,relabel_primary,"This is a modulus inequality solved graphically/algebraically, not logarithmic/exponential content."
31winter20,5,31winter20_q05,numerical_solution_of_equations,numerical_solution_of_equations,trigonometry,"numerical_solution_of_equations,trigonometry",add_secondary_topic,"Iteration is primary, with a cosecant equation as substantial trigonometric context."
31winter20,7,31winter20_q07,differentiation,complex_numbers,algebra,"complex_numbers,algebra",relabel_primary_add_secondary,The complex root and conjugate-root work dominates; polynomial algebra is secondary.
31winter20,8,31winter20_q08,differentiation,differential_equations,,differential_equations,relabel_primary,The prompt asks to solve a differential equation; the current differentiation label is too narrow.
31winter20,10,31winter20_q10,differentiation,integration,"differentiation,logarithmic_and_exponential_functions","integration,differentiation,logarithmic_and_exponential_functions",relabel_primary_add_secondary,"The area under an exponential curve is the strongest task, after a minimum-point differentiation setup."
31winter22,7,31winter22_q07,numerical_solution_of_equations,numerical_solution_of_equations,differentiation,"numerical_solution_of_equations,differentiation",add_secondary_topic,"Iteration is primary, with a derivative/gradient condition used to derive the equation."
31winter22,9,31winter22_q09,differentiation,integration,"differentiation,logarithmic_and_exponential_functions","integration,differentiation,logarithmic_and_exponential_functions",relabel_primary_add_secondary,"The shaded-area integral is the strongest task, with minimum-point differentiation and exponential context secondary."
31winter24,2,31winter24_q02,integration,integration,logarithmic_and_exponential_functions,"integration,logarithmic_and_exponential_functions",add_secondary_topic,"The question is integration of an expression involving ln(3x), so logarithmic coverage should be counted."
31winter24,3,31winter24_q03,differentiation,differentiation,logarithmic_and_exponential_functions,"differentiation,logarithmic_and_exponential_functions",add_secondary_topic,"Implicit differentiation is primary, with a logarithmic curve equation providing substantial context."
31winter24,5,31winter24_q05,numerical_solution_of_equations,numerical_solution_of_equations,logarithmic_and_exponential_functions,"numerical_solution_of_equations,logarithmic_and_exponential_functions",add_secondary_topic,"Iteration is primary, with logarithmic/exponential equations used to define the root."
31winter24,6,31winter24_q06,differentiation,differentiation,"integration,trigonometry","differentiation,integration,trigonometry",add_secondary_topic,The minimum point is differentiation primary; the region area and trigonometric curve context should count as secondary coverage.
32summer10,4,32summer10_q04,numerical_solution_of_equations,numerical_solution_of_equations,differentiation,"numerical_solution_of_equations,differentiation",add_secondary_topic,"Iteration is primary, with a derivative/stationary-point equation used to form x = tan x."
32summer10,6,32summer10_q06,logarithmic_and_exponential_functions,differentiation,logarithmic_and_exponential_functions,"differentiation,logarithmic_and_exponential_functions",relabel_primary_add_secondary,The question asks for dy/dx and a tangent; logarithms are the curve context.
32summer10,8,32summer10_q08,algebra,complex_numbers,trigonometry,"complex_numbers,trigonometry",relabel_primary_add_secondary,"The locus and reciprocal are complex-number content, with double-angle trigonometry used in the proof."
32summer10,10,32summer10_q10,logarithmic_and_exponential_functions,integration,"algebra,logarithmic_and_exponential_functions","integration,algebra,logarithmic_and_exponential_functions",relabel_primary_add_secondary,Partial-fraction decomposition is used to evaluate a definite integral; integration is primary.
32summer11,10,32summer11_q10,differentiation,integration,"differentiation,logarithmic_and_exponential_functions","integration,differentiation,logarithmic_and_exponential_functions",relabel_primary_add_secondary,"The area under the exponential curve is the strongest part, with maximum/tangent differentiation also assessed."
32summer12,2,32summer12_q02,numerical_solution_of_equations,numerical_solution_of_equations,trigonometry,"numerical_solution_of_equations,trigonometry",add_secondary_topic,"Iteration is primary, with circular-measure trigonometry used to derive tan theta = 3 theta."
32summer12,6,32summer12_q06,differentiation,differentiation,trigonometry,"differentiation,trigonometry",add_secondary_topic,"Stationary points are found by differentiation, with trigonometric equations used to solve the condition."
32summer12,8,32summer12_q08,logarithmic_and_exponential_functions,integration,"algebra,logarithmic_and_exponential_functions","integration,algebra,logarithmic_and_exponential_functions",relabel_primary_add_secondary,The substitution and partial fractions are in service of evaluating a definite integral.
32summer12,9,32summer12_q09,differentiation,integration,"differentiation,logarithmic_and_exponential_functions","integration,differentiation,logarithmic_and_exponential_functions",relabel_primary_add_secondary,"The volume of revolution integral is the strongest task, with tangent differentiation and ln x context secondary."
