paper,question_number,question_id,current_topic,proposed_primary_topic,proposed_secondary_topics,coverage_topics,status,rationale
32winter21,11,32winter21_q11,numerical_solution_of_equations,numerical_solution_of_equations,"differentiation,trigonometry","numerical_solution_of_equations,differentiation,trigonometry",add_secondary_topic,"Iteration is primary, after differentiating a tangent curve and solving a trigonometric equation."
32winter23,2,32winter23_q02,differentiation,differentiation,logarithmic_and_exponential_functions,"differentiation,logarithmic_and_exponential_functions",add_secondary_topic,"Parametric differentiation is primary, with logarithmic/exponential functions defining the curve."
32winter23,6,32winter23_q06,numerical_solution_of_equations,numerical_solution_of_equations,trigonometry,"numerical_solution_of_equations,trigonometry",add_secondary_topic,"Iteration is primary, with a cotangent equation as substantial trigonometric context."
32winter23,9,32winter23_q09,differentiation,differentiation,"integration,trigonometry","differentiation,integration,trigonometry",add_secondary_topic,"Maximum-point differentiation is primary, with a trigonometric area integral also assessed."
32winter23,11,32winter23_q11,differential_equations,differential_equations,logarithmic_and_exponential_functions,"differential_equations,logarithmic_and_exponential_functions",add_secondary_topic,"The differential equation is primary, with logarithmic terms in the exact solution."
32winter25,5,32winter25_q05,algebra,algebra,differentiation,"algebra,differentiation",add_secondary_topic,"The repeated-factor polynomial problem is algebra primary, with differentiation used to justify the factor of f prime."
32winter25,6,32winter25_q06,numerical_solution_of_equations,numerical_solution_of_equations,trigonometry,"numerical_solution_of_equations,trigonometry",add_secondary_topic,"Iteration is primary, with a cotangent/trigonometric equation used to define the root."
32winter25,8,32winter25_q08,integration,integration,trigonometry,"integration,trigonometry",add_secondary_topic,"The exact integral is primary, with a trigonometric identity used to transform the integrand."
32winter25,9,32winter25_q09,integration,integration,"algebra,logarithmic_and_exponential_functions","integration,algebra,logarithmic_and_exponential_functions",add_secondary_topic,Partial fractions support a definite integral with a logarithmic exact answer.
33summer10,1,33summer10_q01,differentiation,algebra,,algebra,relabel_primary,This is a modulus inequality; no calculus is assessed.
33summer10,5,33summer10_q05,logarithmic_and_exponential_functions,integration,"differentiation,logarithmic_and_exponential_functions","integration,differentiation,logarithmic_and_exponential_functions",relabel_primary_add_secondary,"The area calculation is integration primary, after differentiating the exponential curve to find the maximum."
33summer10,6,33summer10_q06,logarithmic_and_exponential_functions,numerical_solution_of_equations,"differentiation,logarithmic_and_exponential_functions","numerical_solution_of_equations,differentiation,logarithmic_and_exponential_functions",relabel_primary_add_secondary,"Iteration is primary, with a stationary-point derivative equation involving logarithms."
33summer10,7,33summer10_q07,integration,integration,trigonometry,"integration,trigonometry",add_secondary_topic,"The exact integral is primary, with a triple-angle identity used to transform the integrand."
33summer11,2,33summer11_q02,logarithmic_and_exponential_functions,differentiation,logarithmic_and_exponential_functions,"differentiation,logarithmic_and_exponential_functions",relabel_primary_add_secondary,Stationary-point differentiation is primary; logarithms define the curve.
33summer11,3,33summer11_q03,differentiation,integration,logarithmic_and_exponential_functions,"integration,logarithmic_and_exponential_functions",relabel_primary_add_secondary,This is an integration-by-parts question involving an exponential integrand.
33summer11,4,33summer11_q04,differentiation,trigonometry,,trigonometry,relabel_primary,The tangent addition identity and trigonometric equation solving are the assessed topic.
33summer11,5,33summer11_q05,differentiation,algebra,,algebra,relabel_primary,"The factor/remainder theorem polynomial problem is algebra, not differentiation."
33summer11,6,33summer11_q06,numerical_solution_of_equations,numerical_solution_of_equations,trigonometry,"numerical_solution_of_equations,trigonometry",add_secondary_topic,"Iteration is primary, with a cotangent equation as substantial trigonometric context."
33summer11,7,33summer11_q07,algebra,complex_numbers,algebra,"complex_numbers,algebra",relabel_primary_add_secondary,The polynomial equation is used to find and verify complex roots; complex numbers are primary.
33summer11,8,33summer11_q08,differentiation,integration,"differentiation,trigonometry","integration,differentiation,trigonometry",relabel_primary_add_secondary,"The area by substitution is primary, with maximum-point differentiation and trigonometric curve context."
33summer12,3,33summer12_q03,differentiation,differentiation,trigonometry,"differentiation,trigonometry",add_secondary_topic,"Parametric differentiation is primary, with trigonometric simplification used to reach the given derivative."
33summer12,6,33summer12_q06,differentiation,trigonometry,,trigonometry,relabel_primary,"The tangent triple-angle equation is trigonometry, not differentiation."
33summer12,7,33summer12_q07,numerical_solution_of_equations,numerical_solution_of_equations,"integration,trigonometry","numerical_solution_of_equations,integration,trigonometry",add_secondary_topic,"Iteration is primary, with the fixed-point equation derived from a trigonometric integral."
33summer12,8,33summer12_q08,algebra,integration,"algebra,logarithmic_and_exponential_functions","integration,algebra,logarithmic_and_exponential_functions",relabel_primary_add_secondary,Partial fractions support a definite integral whose exact value is logarithmic.
33summer13,3,33summer13_q03,differentiation,trigonometry,,trigonometry,relabel_primary,"The equation tan 2x = 5 cot x is a trigonometric equation, not differentiation."
33summer13,4,33summer13_q04,differentiation,integration,trigonometry,"integration,trigonometry",relabel_primary_add_secondary,"The exact integral is primary, with R cos form used to transform the integrand."
33summer13,6,33summer13_q06,numerical_solution_of_equations,numerical_solution_of_equations,"differentiation,logarithmic_and_exponential_functions","numerical_solution_of_equations,differentiation,logarithmic_and_exponential_functions",add_secondary_topic,"Iteration is primary, after derivative matching and logarithmic rearrangement form the equation."
33summer13,9,33summer13_q09,differentiation,integration,"differentiation,trigonometry","integration,differentiation,trigonometry",relabel_primary_add_secondary,"The area by substitution is primary, with maximum-point differentiation and trigonometric curve context."
33summer14,3,33summer14_q03,differentiation,trigonometry,,trigonometry,relabel_primary,"The tangent equation is trigonometry, not differentiation."
33summer14,4,33summer14_q04,logarithmic_and_exponential_functions,numerical_solution_of_equations,logarithmic_and_exponential_functions,"numerical_solution_of_equations,logarithmic_and_exponential_functions",relabel_primary_add_secondary,"Iteration/root finding is primary, with logarithmic/exponential rearrangement used to define the fixed point."
33summer14,5,33summer14_q05,differential_equations,differential_equations,trigonometry,"differential_equations,trigonometry",add_secondary_topic,"The differential equation is primary, with secant/tangent integration in the solution."
33summer14,8,33summer14_q08,logarithmic_and_exponential_functions,integration,"algebra,logarithmic_and_exponential_functions","integration,algebra,logarithmic_and_exponential_functions",relabel_primary_add_secondary,Partial fractions support a definite integral whose exact value is logarithmic.
33summer14,9,33summer14_q09,differentiation,integration,"differentiation,trigonometry","integration,differentiation,trigonometry",relabel_primary_add_secondary,"The exact area integral is primary, with maximum-point differentiation and trigonometric curve context."
