paper,question_number,question_id,current_topic,proposed_primary_topic,proposed_secondary_topics,coverage_topics,status,rationale
31summer19,6,31summer19_q06,integration,integration,trigonometry,"integration,trigonometry",add_secondary_topic,"The exact integral of sin^3 x is primary, with the triple-angle identity as secondary trigonometry."
31summer19,7,31summer19_q07,numerical_solution_of_equations,numerical_solution_of_equations,"differentiation,trigonometry","numerical_solution_of_equations,differentiation,trigonometry",add_secondary_topic,"Iteration/root finding is primary, with tangent-gradient and trigonometric setup as secondary coverage."
31summer20,5,31summer20_q05,algebra,integration,algebra,"integration,algebra",relabel_primary_add_secondary,Polynomial division is used to evaluate a definite integral; integration is primary.
31summer20,6,31summer20_q06,numerical_solution_of_equations,numerical_solution_of_equations,trigonometry,"numerical_solution_of_equations,trigonometry",add_secondary_topic,"Iteration is primary, with circular-measure/trigonometric setup as secondary coverage."
31summer20,7,31summer20_q07,logarithmic_and_exponential_functions,integration,"differentiation,trigonometry","integration,differentiation,trigonometry",relabel_primary_add_secondary,The question combines monotonicity by differentiation with an exact trigonometric integral; integration is the stronger packet topic.
31summer20,8,31summer20_q08,logarithmic_and_exponential_functions,differential_equations,,differential_equations,relabel_primary,"The task explicitly sets up and solves a differential equation; logarithms are solving method, not the topic."
31summer21,2,31summer21_q02,numerical_solution_of_equations,logarithmic_and_exponential_functions,,logarithmic_and_exponential_functions,relabel_primary,This is an exponential equation reduced to a quadratic and solved with logarithms.
31summer21,9,31summer21_q09,differentiation,differentiation,"logarithmic_and_exponential_functions,integration","differentiation,logarithmic_and_exponential_functions,integration",add_secondary_topic,The stationary-point work is differentiation primary; ln x and the integration-by-parts area calculation should also count for coverage.
31summer22,3,31summer22_q03,differentiation,trigonometry,,trigonometry,relabel_primary,"This is a trigonometric equation in cot/tan, not a differentiation question."
31summer22,10,31summer22_q10,numerical_solution_of_equations,numerical_solution_of_equations,"differentiation,trigonometry","numerical_solution_of_equations,differentiation,trigonometry",add_secondary_topic,"Iteration is primary, with stationary-point differentiation and the tangent equation as secondary coverage."
31summer23,5,31summer23_q05,algebra,differentiation,algebra,"differentiation,algebra",relabel_primary_add_secondary,Implicit differentiation and vertical tangent conditions are the main assessed skills; algebraic substitution is secondary.
31summer24,5,31summer24_q05,differentiation,differentiation,trigonometry,"differentiation,trigonometry",add_secondary_topic,"Stationary-point differentiation is primary, with trigonometric equations used to solve for x."
31summer25,9,31summer25_q09,numerical_solution_of_equations,numerical_solution_of_equations,integration,"numerical_solution_of_equations,integration",add_secondary_topic,"The iteration is primary, but it is derived from an integration-by-parts calculation."
31summer25,10,31summer25_q10,differential_equations,differential_equations,algebra,"differential_equations,algebra",add_secondary_topic,The differential equation is primary; quotient/remainder algebra in part (a) should count as secondary coverage.
31summer25,11,31summer25_q11,differentiation,differentiation,"integration,trigonometry","differentiation,integration,trigonometry",add_secondary_topic,"The maximum-point differentiation is primary, while the volume-of-revolution integral and trigonometric manipulation are substantial secondary coverage."
31winter09,1,31winter09_q01,differentiation,algebra,,algebra,relabel_primary,This is a modulus inequality; no calculus is assessed.
31winter09,4,31winter09_q04,logarithmic_and_exponential_functions,differentiation,trigonometry,"differentiation,trigonometry",relabel_primary_add_secondary,"Stationary points are found by differentiation, with trigonometric equations used to solve the condition."
31winter09,5,31winter09_q05,trigonometry,trigonometry,integration,"trigonometry,integration",add_secondary_topic,"Trig identity work is primary, with an exact integral of sin^4 theta also assessed."
31winter09,9,31winter09_q09,logarithmic_and_exponential_functions,integration,"logarithmic_and_exponential_functions,differentiation","integration,logarithmic_and_exponential_functions,differentiation",relabel_primary_add_secondary,The final area calculation by integration is the strongest packet topic; ln x and stationary-point differentiation are secondary.
31winter10,1,31winter10_q01,differentiation,algebra,,algebra,relabel_primary,This is a modulus inequality; no calculus is assessed.
31winter10,5,31winter10_q05,differentiation,integration,trigonometry,"integration,trigonometry",relabel_primary_add_secondary,The question is an exact area integral by trigonometric substitution.
31winter10,9,31winter10_q09,logarithmic_and_exponential_functions,integration,"logarithmic_and_exponential_functions,differentiation","integration,logarithmic_and_exponential_functions,differentiation",relabel_primary_add_secondary,The final exact area is assessed by integration; ln x and differentiation are secondary.
