question_id,paper,paper_code,question_number,current_topic,primary_topic,secondary_topics,coverage_topics,status,current_syllabus,rationale
12summer20_q08,12summer20,12summer20,8,algebra,series,,series,relabel_primary,True,Review of the question and mark scheme shows series is the dominant assessed topic rather than the raw algebra label.
12summer20_q09,12summer20,12summer20,9,functions,functions,quadratics,functions;quadratics,add_secondary_topic,True,The primary label remains functions; the mark scheme also contains substantial mark-bearing quadratics overlap.
12summer20_q10,12summer20,12summer20,10,differentiation,differentiation,integration;quadratics,differentiation;integration;quadratics,add_secondary_topic,True,"The primary label remains differentiation; the mark scheme also contains substantial mark-bearing integration, quadratics overlap."
12summer20_q11,12summer20,12summer20,11,trigonometry,trigonometry,,trigonometry,keep,True,The existing trigonometry label matches the dominant mark-bearing topic.
12summer20_q12,12summer20,12summer20,12,coordinate_geometry,coordinate_geometry,quadratics,coordinate_geometry;quadratics,add_secondary_topic,True,The primary label remains coordinate_geometry; the mark scheme also contains substantial mark-bearing quadratics overlap.
12summer22_q01,12summer22,12summer22,1,binomial_expansion,series,,series,keep,True,The existing series label matches the dominant mark-bearing topic.
12summer22_q02,12summer22,12summer22,2,series_and_sequences,series,,series,keep,True,The existing series label matches the dominant mark-bearing topic.
12summer22_q03,12summer22,12summer22,3,functions,integration,,integration,relabel_primary,True,Review of the question and mark scheme shows integration is the dominant assessed topic rather than the raw functions label.
12summer22_q04,12summer22,12summer22,4,series_and_sequences,series,,series,keep,True,The existing series label matches the dominant mark-bearing topic.
12summer22_q05,12summer22,12summer22,5,differentiation,quadratics,,quadratics,relabel_primary,True,Review of the question and mark scheme shows quadratics is the dominant assessed topic rather than the raw differentiation label.
12summer22_q06,12summer22,12summer22,6,integration,integration,quadratics,integration;quadratics,add_secondary_topic,True,The primary label remains integration; the mark scheme also contains substantial mark-bearing quadratics overlap.
12summer22_q07,12summer22,12summer22,7,circular_measure,circular_measure,,circular_measure,keep,True,The existing circular_measure label matches the dominant mark-bearing topic.
12summer22_q08,12summer22,12summer22,8,differentiation,coordinate_geometry,,coordinate_geometry,relabel_primary,True,Review of the question and mark scheme shows coordinate_geometry is the dominant assessed topic rather than the raw differentiation label.
12summer22_q09,12summer22,12summer22,9,differentiation,differentiation,,differentiation,keep,True,The existing differentiation label matches the dominant mark-bearing topic.
12summer22_q10,12summer22,12summer22,10,functions,functions,,functions,keep,True,The existing functions label matches the dominant mark-bearing topic.
12summer22_q11,12summer22,12summer22,11,trigonometry,trigonometry,quadratics,trigonometry;quadratics,add_secondary_topic,True,The primary label remains trigonometry; the mark scheme also contains substantial mark-bearing quadratics overlap.
