question_id,paper,paper_code,question_number,current_topic,primary_topic,secondary_topics,coverage_topics,status,current_syllabus,rationale
12summer25_q05,12summer25,12summer25,5,trigonometry,trigonometry,,trigonometry,keep,True,"The cosine graph, range, sketch, and root counting are trigonometry rather than function transformation work."
12summer25_q06,12summer25,12summer25,6,coordinate_geometry,integration,,integration,relabel_primary,True,Review of the question and mark scheme shows integration is the dominant assessed topic rather than the raw coordinate_geometry label.
12summer25_q07,12summer25,12summer25,7,trigonometry,trigonometry,quadratics,trigonometry;quadratics,add_secondary_topic,True,The primary label remains trigonometry; the mark scheme also contains substantial mark-bearing quadratics overlap.
12summer25_q08,12summer25,12summer25,8,circular_measure,circular_measure,coordinate_geometry,circular_measure;coordinate_geometry,add_secondary_topic,True,The primary label remains circular_measure; the mark scheme also contains substantial mark-bearing coordinate_geometry overlap.
12summer25_q09,12summer25,12summer25,9,differentiation,differentiation,integration,differentiation;integration,add_secondary_topic,True,The primary label remains differentiation; the mark scheme also contains substantial mark-bearing integration overlap.
12summer25_q10,12summer25,12summer25,10,series_and_sequences,series,,series,keep,True,The existing series label matches the dominant mark-bearing topic.
12summer25_q11,12summer25,12summer25,11,functions,functions,quadratics,functions;quadratics,add_secondary_topic,True,The primary label remains functions; the mark scheme also contains substantial mark-bearing quadratics overlap.
12winter09_q01,12winter09,12winter09,1,integration,integration,,integration,keep,True,The existing integration label matches the dominant mark-bearing topic.
12winter09_q02,12winter09,12winter09,2,binomial_expansion,series,,series,keep,True,The existing series label matches the dominant mark-bearing topic.
12winter09_q03,12winter09,12winter09,3,series_and_sequences,series,,series,keep,True,The existing series label matches the dominant mark-bearing topic.
12winter09_q04,12winter09,12winter09,4,functions,functions,,functions,keep,True,The existing functions label matches the dominant mark-bearing topic.
12winter09_q05,12winter09,12winter09,5,trigonometry,trigonometry,,trigonometry,keep,True,The existing trigonometry label matches the dominant mark-bearing topic.
12winter09_q06,12winter09,12winter09,6,series_and_sequences,,,,exclude_current_syllabus,False,"Legacy 3D vector/scalar-product content is outside the current P1 major-topic set, so it is excluded rather than forced into a current topic."
12winter09_q07,12winter09,12winter09,7,circular_measure,circular_measure,differentiation,circular_measure;differentiation,add_secondary_topic,True,The primary label remains circular_measure; the mark scheme also contains substantial mark-bearing differentiation overlap.
12winter09_q08,12winter09,12winter09,8,functions,functions,differentiation;integration,functions;differentiation;integration,add_secondary_topic,True,"The primary label remains functions; the mark scheme also contains substantial mark-bearing differentiation, integration overlap."
12winter09_q09,12winter09,12winter09,9,quadratics,coordinate_geometry,quadratics,coordinate_geometry;quadratics,relabel_primary_add_secondary,True,"Rectangle geometry, perpendicular gradients, coordinate calculation, and area dominate; the quadratic equation is substantial supporting work."
12winter09_q10,12winter09,12winter09,10,differentiation,coordinate_geometry,differentiation;quadratics,coordinate_geometry;differentiation;quadratics,relabel_primary_add_secondary,True,"Line-curve intersections, tangent angle, and non-intersection condition make coordinate geometry primary, with differentiation and discriminant work as substantial overlaps."
12winter10_q01,12winter10,12winter10,1,binomial_expansion,series,,series,keep,True,The existing series label matches the dominant mark-bearing topic.
12winter10_q02,12winter10,12winter10,2,trigonometry,trigonometry,,trigonometry,keep,True,The existing trigonometry label matches the dominant mark-bearing topic.
12winter10_q03,12winter10,12winter10,3,quadratics,differentiation,,differentiation,relabel_primary,True,Review of the question and mark scheme shows differentiation is the dominant assessed topic rather than the raw quadratics label.
12winter10_q04,12winter10,12winter10,4,circular_measure,circular_measure,,circular_measure,keep,True,The existing circular_measure label matches the dominant mark-bearing topic.
12winter10_q05,12winter10,12winter10,5,series_and_sequences,series,,series,keep,True,The existing series label matches the dominant mark-bearing topic.
12winter10_q06,12winter10,12winter10,6,differentiation,quadratics,,quadratics,relabel_primary,True,Review of the question and mark scheme shows quadratics is the dominant assessed topic rather than the raw differentiation label.
12winter10_q07,12winter10,12winter10,7,functions,functions,quadratics,functions;quadratics,add_secondary_topic,True,The primary label remains functions; the mark scheme also contains substantial mark-bearing quadratics overlap.
12winter10_q08,12winter10,12winter10,8,quadratics,coordinate_geometry,quadratics,coordinate_geometry;quadratics,relabel_primary_add_secondary,True,"Review of the question and mark scheme shows coordinate_geometry is the dominant assessed topic, with substantial mark-bearing quadratics overlap."
12winter10_q09,12winter10,12winter10,9,series_and_sequences,,,,exclude_current_syllabus,False,"Legacy 3D vector/scalar-product content is outside the current P1 major-topic set, so it is excluded rather than forced into a current topic."
12winter10_q10,12winter10,12winter10,10,functions,differentiation,,differentiation,relabel_primary,True,Review of the question and mark scheme shows differentiation is the dominant assessed topic rather than the raw functions label.
12winter10_q11,12winter10,12winter10,11,coordinate_geometry,integration,coordinate_geometry,integration;coordinate_geometry,relabel_primary_add_secondary,True,The largest mark block is volume of revolution by integration; the line AB setup contributes coordinate-geometry coverage only secondarily.
12winter11_q01,12winter11,12winter11,1,binomial_expansion,series,,series,keep,True,The existing series label matches the dominant mark-bearing topic.
12winter11_q02,12winter11,12winter11,2,functions,functions,,functions,keep,True,The existing functions label matches the dominant mark-bearing topic.
12winter11_q03,12winter11,12winter11,3,quadratics,,,,exclude_current_syllabus,False,"Legacy 3D vector/scalar-product content is outside the current P1 major-topic set, so it is excluded rather than forced into a current topic."
12winter11_q04,12winter11,12winter11,4,differentiation,quadratics,coordinate_geometry,quadratics;coordinate_geometry,relabel_primary_add_secondary,True,"Review of the question and mark scheme shows quadratics is the dominant assessed topic, with substantial mark-bearing coordinate_geometry overlap."
12winter11_q05,12winter11,12winter11,5,trigonometry,trigonometry,,trigonometry,keep,True,The existing trigonometry label matches the dominant mark-bearing topic.
12winter11_q06,12winter11,12winter11,6,trigonometry,circular_measure,,circular_measure,relabel_primary,True,"Circle radii, radian arc lengths, and perimeter dominate; the raw trigonometry label is only supporting triangle setup."
12winter11_q07,12winter11,12winter11,7,differentiation,differentiation,integration,differentiation;integration,add_secondary_topic,True,The primary label remains differentiation; the mark scheme also contains substantial mark-bearing integration overlap.
12winter11_q08,12winter11,12winter11,8,differentiation,integration,differentiation,integration;differentiation,relabel_primary_add_secondary,True,"Review of the question and mark scheme shows integration is the dominant assessed topic, with substantial mark-bearing differentiation overlap."
12winter11_q09,12winter11,12winter11,9,coordinate_geometry,coordinate_geometry,,coordinate_geometry,keep,True,The existing coordinate_geometry label matches the dominant mark-bearing topic.
12winter11_q10,12winter11,12winter11,10,series_and_sequences,series,,series,keep,True,The existing series label matches the dominant mark-bearing topic.
