paper,question_number,question_id,current_topic,proposed_primary_topic,proposed_secondary_topics,coverage_topics,status,rationale
32summer18,5,32summer18_q05,differentiation,differentiation,trigonometry,"differentiation,trigonometry",add_secondary_topic,"Parametric differentiation is primary, with trigonometric simplification used throughout."
32summer18,6,32summer18_q06,differentiation,differential_equations,trigonometry,"differential_equations,trigonometry",relabel_primary_add_secondary,"The problem is a differential equation in trigonometric variables, not ordinary differentiation."
32summer18,7,32summer18_q07,numerical_solution_of_equations,numerical_solution_of_equations,logarithmic_and_exponential_functions,"numerical_solution_of_equations,logarithmic_and_exponential_functions",add_secondary_topic,"Iteration/root finding is primary, with exponential equations used to define the root."
32summer18,8,32summer18_q08,algebra,integration,"algebra,logarithmic_and_exponential_functions","integration,algebra,logarithmic_and_exponential_functions",relabel_primary_add_secondary,Partial fractions are used to evaluate a definite integral with a logarithmic exact answer.
32summer19,3,32summer19_q03,algebra,trigonometry,,trigonometry,relabel_primary,Angle-addition formulae and trigonometric equation solving are the assessed skills.
32summer19,4,32summer19_q04,logarithmic_and_exponential_functions,integration,logarithmic_and_exponential_functions,"integration,logarithmic_and_exponential_functions",relabel_primary_add_secondary,This is an integration-by-parts question with ln x as the integrand context.
32summer19,5,32summer19_q05,differentiation,differentiation,trigonometry,"differentiation,trigonometry",add_secondary_topic,"Implicit differentiation is primary, with trigonometric identities required for the final form."
32summer19,6,32summer19_q06,logarithmic_and_exponential_functions,differential_equations,,differential_equations,relabel_primary,The prompt asks to solve a differential equation; the current logarithmic label reflects only the solution form.
32summer19,10,32summer19_q10,integration,integration,"differentiation,trigonometry","integration,differentiation,trigonometry",add_secondary_topic,"The area by substitution is primary, with maximum-point differentiation and trig coverage also assessed."
32summer20,1,32summer20_q01,differentiation,algebra,,algebra,relabel_primary,This is a modulus inequality solved algebraically; no calculus is assessed.
32summer20,3,32summer20_q03,numerical_solution_of_equations,numerical_solution_of_equations,trigonometry,"numerical_solution_of_equations,trigonometry",add_secondary_topic,"Iteration is primary, with a secant equation as substantial trigonometric context."
32summer20,4,32summer20_q04,logarithmic_and_exponential_functions,integration,"logarithmic_and_exponential_functions,trigonometry","integration,logarithmic_and_exponential_functions,trigonometry",relabel_primary_add_secondary,Integration by parts is primary; the integral involves trigonometric functions and a logarithmic exact result.
32summer20,5,32summer20_q05,algebra,trigonometry,,trigonometry,relabel_primary,"The identity proof and resulting equation are trigonometry, not algebra."
32summer20,6,32summer20_q06,differentiation,differential_equations,,differential_equations,relabel_primary,The prompt asks to solve a differential equation; differentiation is not the dominant topic.
32summer20,7,32summer20_q07,algebra,differentiation,,differentiation,relabel_primary,"The question is implicit differentiation and vertical tangent analysis, not algebra."
32summer21,6,32summer21_q06,integration,integration,trigonometry,"integration,trigonometry",add_secondary_topic,"The exact integral is primary, with a trigonometric identity used to transform the integrand."
32summer21,8,32summer21_q08,differentiation,differentiation,trigonometry,"differentiation,trigonometry",add_secondary_topic,"Stationary-point differentiation is primary, with trigonometric equations used to find the points."
32summer21,10,32summer21_q10,numerical_solution_of_equations,numerical_solution_of_equations,trigonometry,"numerical_solution_of_equations,trigonometry",add_secondary_topic,"Iteration is primary, with circular-measure trigonometry used to derive the equation."
32summer24,5,32summer24_q05,numerical_solution_of_equations,numerical_solution_of_equations,"logarithmic_and_exponential_functions,trigonometry","numerical_solution_of_equations,logarithmic_and_exponential_functions,trigonometry",add_secondary_topic,"Iteration is primary, with exponential and cosine terms defining the root equation."
32summer24,6,32summer24_q06,integration,integration,"differentiation,logarithmic_and_exponential_functions","integration,differentiation,logarithmic_and_exponential_functions",add_secondary_topic,"The exact integral is primary, after differentiation is used to locate the maximum of an exponential curve."
32summer24,7,32summer24_q07,integration,integration,trigonometry,"integration,trigonometry",add_secondary_topic,"The definite integral is primary, with a trigonometric identity needed to simplify the integrand."
32summer24,10,32summer24_q10,differential_equations,differential_equations,trigonometry,"differential_equations,trigonometry",add_secondary_topic,"The differential equation is primary, with secant/trigonometric manipulation central to the setup."
32winter09,4,32winter09_q04,logarithmic_and_exponential_functions,trigonometry,,trigonometry,relabel_primary,"The tangent addition formula and trigonometric equation solving are the assessed skills, not logarithms."
32winter09,5,32winter09_q05,algebra,algebra,differentiation,"algebra,differentiation",add_secondary_topic,"The repeated-factor polynomial problem is algebra primary, with differentiation used to obtain the repeated-root condition."
32winter09,6,32winter09_q06,differentiation,integration,trigonometry,"integration,trigonometry",relabel_primary_add_secondary,The substitution and exact definite integral are integration primary with trigonometric coverage.
32winter10,1,32winter10_q01,differentiation,algebra,,algebra,relabel_primary,This is a modulus inequality; no calculus is assessed.
32winter10,4,32winter10_q04,numerical_solution_of_equations,numerical_solution_of_equations,trigonometry,"numerical_solution_of_equations,trigonometry",add_secondary_topic,"Iteration is primary, with a cotangent equation as substantial trigonometric context."
32winter10,5,32winter10_q05,differentiation,integration,trigonometry,"integration,trigonometry",relabel_primary_add_secondary,The trigonometric substitution and exact integral evaluation make integration primary.
32winter10,9,32winter10_q09,logarithmic_and_exponential_functions,integration,"differentiation,logarithmic_and_exponential_functions","integration,differentiation,logarithmic_and_exponential_functions",relabel_primary_add_secondary,"The shaded area by integration is the strongest task, after differentiating the logarithmic curve."
32winter11,4,32winter11_q04,differential_equations,differential_equations,trigonometry,"differential_equations,trigonometry",add_secondary_topic,"The differential equation is primary, with trigonometric functions central to the equation."
32winter11,5,32winter11_q05,numerical_solution_of_equations,numerical_solution_of_equations,trigonometry,"numerical_solution_of_equations,trigonometry",add_secondary_topic,"Iteration is primary, with a secant equation as substantial trigonometric context."
32winter11,6,32winter11_q06,logarithmic_and_exponential_functions,trigonometry,,trigonometry,relabel_primary,"R cos(x-alpha) form and trigonometric equation solving are the assessed skills, not logarithms."
32winter11,8,32winter11_q08,logarithmic_and_exponential_functions,integration,"algebra,logarithmic_and_exponential_functions","integration,algebra,logarithmic_and_exponential_functions",relabel_primary_add_secondary,Partial fractions support a definite integral whose exact value is logarithmic; integration is primary.
32winter11,9,32winter11_q09,logarithmic_and_exponential_functions,integration,"differentiation,logarithmic_and_exponential_functions","integration,differentiation,logarithmic_and_exponential_functions",relabel_primary_add_secondary,"The area calculation by integration is the strongest task, with the minimum point found by differentiation."
32winter12,1,32winter12_q01,differentiation,algebra,,algebra,relabel_primary,This is a modulus inequality; no calculus is assessed.
32winter12,5,32winter12_q05,differentiation,integration,"differentiation,trigonometry","integration,differentiation,trigonometry",relabel_primary_add_secondary,"The exact integral is the final task, with derivative and trigonometric identity work as substantial support."
32winter12,7,32winter12_q07,logarithmic_and_exponential_functions,differentiation,logarithmic_and_exponential_functions,"differentiation,logarithmic_and_exponential_functions",relabel_primary_add_secondary,Implicit differentiation and vertical tangent analysis are primary; logarithms define the curve.
32winter12,8,32winter12_q08,numerical_solution_of_equations,numerical_solution_of_equations,"differentiation,logarithmic_and_exponential_functions","numerical_solution_of_equations,differentiation,logarithmic_and_exponential_functions",add_secondary_topic,"Iteration is primary, with differentiation and exponential/logarithmic equations used before the numerical part."
32winter12,9,32winter12_q09,algebra,complex_numbers,algebra,"complex_numbers,algebra",relabel_primary_add_secondary,The polynomial work is in service of identifying complex roots; complex numbers are the dominant topic.
32winter13,1,32winter13_q01,algebra,differentiation,,differentiation,relabel_primary,"The question asks to show the curve's gradient is negative; differentiation is primary, not algebra."
32winter13,2,32winter13_q02,integration,logarithmic_and_exponential_functions,,logarithmic_and_exponential_functions,relabel_primary,"This is an exponential equation solved using logarithms, not an integration problem."
32winter13,3,32winter13_q03,logarithmic_and_exponential_functions,integration,logarithmic_and_exponential_functions,"integration,logarithmic_and_exponential_functions",relabel_primary_add_secondary,This is an integration-by-parts question with ln x as the integrand context.
32winter13,4,32winter13_q04,differentiation,differentiation,trigonometry,"differentiation,trigonometry",add_secondary_topic,"Parametric differentiation is primary, with trigonometric manipulation used to obtain the final form."
32winter13,5,32winter13_q05,logarithmic_and_exponential_functions,integration,"logarithmic_and_exponential_functions,trigonometry","integration,logarithmic_and_exponential_functions,trigonometry",relabel_primary_add_secondary,"The exact integral is primary, with logarithmic and trigonometric identity work both substantial."
32winter13,6,32winter13_q06,numerical_solution_of_equations,numerical_solution_of_equations,trigonometry,"numerical_solution_of_equations,trigonometry",add_secondary_topic,"Iteration is primary, with circular-measure trigonometry used to form the equation."
